[Measurement Properties]
Wavelength Range (nm.):	740,00 to 1050,00
Scan Speed:	Very Slow
Sampling Interval:	0,2
Auto Sampling Interval:	Disabled
Scan Mode:	Auto

[Instrument Properties]
Instrument Type:	SolidSpec-3700 Series
Measuring Mode:	Transmittance
Slit Width:	5,0 nm
Time Constant:	1,0 sec.
Source Lamp:	WI
Detector Unit:	Integral Sphere
Detector Change Wavelength:	920,00 nm  1650,00 nm
Grating Change Wavelength:	850,00 nm
S/R Exchange:	Normal
Detector Lock:	Auto
Slit Program:	Normal
Beam Mode:	Double
Stair Correction:	Disable

[Attachment Properties]
Attachment:	X-Y Stage
Sequence File:	POSITION_1.xys

[Operation]
Threshold:	0,0010000
Points:	4
InterPolate:	Disabled
Average:	Disabled

[Sample Preparation Properties]
Weight:	
Volume:	
Dilution:	
Path Length:	
Additional Information:	04MAY2015
FILTER#12
BRAZIL

Wavelength nm.	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...
758,60	99,993	0,030	0,030	0,030	0,030	0,030	0,030	0,030	0,030	0,030	0,030	0,029	0,029	0,030	0,030	0,030	0,030	0,030	0,029	0,030	0,030	0,030	0,030	0,029	0,030	0,030	0,029	0,030	0,030	0,030	0,030	0,030	0,030	0,030	0,030	0,030	0,030	0,030	0,030	0,030	0,030	0,030	0,030	0,030	0,030	0,030	0,030	0,030	0,029	0,030	0,030	0,030	0,029	0,030	0,030	0,030	0,030	0,030	0,030	0,030	0,030	0,030	0,030	0,030	0,030	0,030	0,030	0,030	0,030	0,030	0,030	0,030	0,030	0,030	0,030	0,030	0,030	0,030	0,030	0,030	0,030	0,030	0,029	0,030	0,030	0,030	0,030	0,030	0,030	0,030	0,031	0,030	0,030	0,030	0,030	0,030	0,030	0,030	0,031	0,030	0,030	100,053
758,80	99,993	0,030	0,030	0,030	0,030	0,031	0,031	0,031	0,031	0,031	0,031	0,030	0,030	0,030	0,031	0,030	0,031	0,031	0,030	0,031	0,031	0,030	0,030	0,030	0,030	0,031	0,030	0,030	0,031	0,030	0,031	0,030	0,030	0,030	0,031	0,031	0,031	0,031	0,031	0,031	0,031	0,030	0,031	0,030	0,030	0,031	0,030	0,030	0,030	0,031	0,031	0,030	0,030	0,031	0,030	0,030	0,031	0,031	0,031	0,031	0,031	0,030	0,031	0,030	0,030	0,030	0,031	0,030	0,031	0,031	0,031	0,030	0,031	0,030	0,030	0,031	0,031	0,031	0,031	0,031	0,031	0,031	0,030	0,030	0,031	0,031	0,031	0,030	0,030	0,031	0,031	0,031	0,031	0,030	0,031	0,030	0,030	0,031	0,031	0,031	0,030	100,048
759,00	99,986	0,031	0,031	0,031	0,031	0,031	0,031	0,031	0,031	0,031	0,031	0,030	0,031	0,031	0,031	0,031	0,031	0,031	0,031	0,032	0,031	0,031	0,031	0,031	0,031	0,031	0,030	0,031	0,031	0,031	0,031	0,031	0,031	0,031	0,031	0,032	0,031	0,031	0,031	0,031	0,031	0,031	0,031	0,031	0,031	0,031	0,031	0,031	0,031	0,032	0,031	0,031	0,031	0,031	0,031	0,031	0,031	0,031	0,031	0,031	0,031	0,031	0,031	0,031	0,031	0,031	0,032	0,031	0,031	0,031	0,031	0,031	0,031	0,031	0,031	0,031	0,031	0,031	0,031	0,031	0,032	0,031	0,031	0,031	0,031	0,031	0,031	0,031	0,031	0,031	0,032	0,031	0,031	0,031	0,031	0,031	0,031	0,031	0,032	0,031	0,031	100,040
759,20	99,979	0,031	0,031	0,032	0,032	0,032	0,032	0,032	0,032	0,032	0,032	0,031	0,031	0,031	0,032	0,031	0,032	0,032	0,032	0,032	0,032	0,031	0,031	0,031	0,031	0,032	0,031	0,031	0,032	0,032	0,032	0,032	0,031	0,031	0,032	0,032	0,032	0,032	0,032	0,032	0,032	0,031	0,031	0,031	0,031	0,032	0,032	0,032	0,031	0,032	0,032	0,031	0,031	0,032	0,031	0,031	0,032	0,032	0,032	0,032	0,032	0,031	0,032	0,032	0,032	0,031	0,032	0,031	0,032	0,032	0,032	0,032	0,031	0,032	0,031	0,032	0,032	0,032	0,032	0,032	0,032	0,032	0,031	0,032	0,032	0,032	0,032	0,032	0,032	0,032	0,033	0,032	0,032	0,032	0,031	0,032	0,031	0,032	0,032	0,032	0,032	100,037
759,40	99,985	0,032	0,032	0,032	0,032	0,032	0,032	0,032	0,032	0,032	0,033	0,032	0,032	0,032	0,032	0,032	0,032	0,033	0,032	0,033	0,032	0,032	0,032	0,032	0,032	0,032	0,032	0,032	0,032	0,032	0,032	0,032	0,032	0,032	0,032	0,033	0,033	0,032	0,032	0,033	0,033	0,032	0,032	0,032	0,032	0,032	0,032	0,032	0,032	0,032	0,033	0,032	0,032	0,032	0,032	0,032	0,032	0,032	0,033	0,033	0,032	0,032	0,032	0,033	0,032	0,032	0,033	0,032	0,032	0,033	0,033	0,032	0,032	0,033	0,032	0,032	0,032	0,032	0,033	0,033	0,033	0,032	0,032	0,032	0,032	0,032	0,032	0,032	0,033	0,033	0,033	0,032	0,032	0,032	0,032	0,032	0,032	0,032	0,033	0,033	0,032	100,039
759,60	99,987	0,032	0,032	0,033	0,033	0,033	0,033	0,033	0,033	0,033	0,033	0,032	0,032	0,033	0,033	0,032	0,033	0,033	0,032	0,033	0,033	0,032	0,033	0,032	0,033	0,033	0,032	0,033	0,033	0,033	0,033	0,033	0,033	0,032	0,033	0,033	0,033	0,033	0,033	0,033	0,033	0,032	0,033	0,032	0,033	0,033	0,033	0,033	0,032	0,033	0,033	0,033	0,032	0,033	0,033	0,032	0,033	0,033	0,033	0,033	0,033	0,032	0,033	0,033	0,033	0,033	0,033	0,032	0,033	0,033	0,033	0,033	0,033	0,033	0,032	0,033	0,033	0,033	0,033	0,033	0,033	0,033	0,033	0,033	0,033	0,033	0,033	0,033	0,033	0,033	0,034	0,033	0,033	0,033	0,033	0,033	0,033	0,033	0,033	0,033	0,033	100,031
759,80	99,996	0,033	0,033	0,033	0,033	0,033	0,034	0,033	0,033	0,034	0,034	0,033	0,033	0,033	0,033	0,033	0,034	0,034	0,033	0,034	0,034	0,033	0,033	0,033	0,033	0,034	0,033	0,033	0,033	0,034	0,033	0,034	0,033	0,033	0,033	0,034	0,034	0,034	0,033	0,034	0,034	0,033	0,033	0,033	0,033	0,033	0,034	0,033	0,033	0,034	0,034	0,033	0,033	0,034	0,033	0,033	0,033	0,033	0,034	0,034	0,034	0,033	0,033	0,034	0,034	0,033	0,034	0,033	0,034	0,034	0,034	0,034	0,033	0,034	0,033	0,033	0,034	0,034	0,034	0,034	0,034	0,034	0,033	0,034	0,034	0,034	0,034	0,034	0,034	0,034	0,034	0,033	0,034	0,034	0,033	0,034	0,033	0,033	0,034	0,034	0,033	100,034
760,00	99,995	0,034	0,034	0,034	0,034	0,034	0,034	0,034	0,034	0,034	0,035	0,034	0,034	0,033	0,034	0,034	0,034	0,034	0,034	0,035	0,034	0,034	0,034	0,034	0,034	0,035	0,034	0,034	0,034	0,034	0,034	0,034	0,034	0,034	0,034	0,034	0,034	0,034	0,034	0,035	0,034	0,034	0,034	0,034	0,034	0,034	0,034	0,034	0,034	0,034	0,035	0,034	0,034	0,034	0,034	0,033	0,034	0,034	0,035	0,035	0,034	0,033	0,034	0,034	0,035	0,034	0,034	0,034	0,034	0,035	0,035	0,034	0,034	0,034	0,034	0,034	0,034	0,034	0,034	0,034	0,034	0,034	0,034	0,034	0,034	0,034	0,034	0,034	0,034	0,035	0,035	0,034	0,034	0,034	0,034	0,034	0,034	0,034	0,034	0,035	0,034	100,032
760,20	99,989	0,034	0,034	0,034	0,035	0,035	0,035	0,035	0,035	0,035	0,035	0,034	0,034	0,034	0,034	0,034	0,035	0,035	0,035	0,035	0,035	0,035	0,035	0,034	0,035	0,035	0,034	0,035	0,035	0,035	0,034	0,035	0,034	0,034	0,035	0,035	0,035	0,035	0,034	0,035	0,035	0,034	0,035	0,034	0,034	0,035	0,035	0,035	0,034	0,035	0,036	0,035	0,034	0,035	0,035	0,034	0,035	0,035	0,035	0,036	0,035	0,034	0,035	0,035	0,035	0,034	0,035	0,035	0,035	0,035	0,035	0,035	0,034	0,035	0,035	0,035	0,035	0,035	0,035	0,035	0,035	0,035	0,035	0,035	0,035	0,035	0,035	0,035	0,035	0,035	0,036	0,035	0,035	0,035	0,034	0,035	0,035	0,034	0,035	0,036	0,035	100,031
760,40	99,990	0,035	0,035	0,035	0,035	0,035	0,035	0,035	0,035	0,035	0,036	0,035	0,035	0,035	0,035	0,035	0,036	0,036	0,035	0,036	0,035	0,035	0,036	0,035	0,035	0,036	0,035	0,036	0,035	0,036	0,035	0,036	0,035	0,035	0,035	0,035	0,036	0,035	0,035	0,036	0,036	0,035	0,035	0,035	0,035	0,035	0,036	0,035	0,035	0,036	0,036	0,035	0,035	0,036	0,035	0,035	0,035	0,036	0,036	0,036	0,036	0,035	0,035	0,036	0,036	0,035	0,036	0,035	0,036	0,036	0,036	0,035	0,035	0,036	0,035	0,035	0,036	0,035	0,036	0,036	0,036	0,036	0,035	0,035	0,035	0,036	0,036	0,035	0,036	0,036	0,036	0,035	0,036	0,035	0,035	0,035	0,035	0,035	0,036	0,036	0,035	100,033
760,60	99,988	0,035	0,036	0,036	0,036	0,036	0,036	0,036	0,036	0,036	0,036	0,036	0,036	0,035	0,036	0,036	0,037	0,036	0,036	0,037	0,036	0,036	0,036	0,036	0,036	0,037	0,036	0,036	0,036	0,037	0,036	0,037	0,036	0,036	0,036	0,036	0,036	0,036	0,036	0,037	0,037	0,036	0,036	0,036	0,036	0,036	0,036	0,036	0,036	0,036	0,037	0,036	0,035	0,036	0,036	0,035	0,036	0,036	0,036	0,037	0,037	0,035	0,036	0,036	0,036	0,036	0,036	0,036	0,036	0,037	0,037	0,036	0,036	0,036	0,036	0,036	0,036	0,036	0,036	0,036	0,036	0,037	0,036	0,036	0,036	0,036	0,036	0,036	0,037	0,037	0,037	0,036	0,036	0,036	0,036	0,036	0,036	0,036	0,036	0,037	0,036	100,036
760,80	99,982	0,036	0,036	0,036	0,036	0,037	0,037	0,036	0,037	0,037	0,037	0,037	0,036	0,036	0,037	0,036	0,037	0,037	0,037	0,037	0,037	0,037	0,037	0,037	0,037	0,037	0,037	0,037	0,037	0,037	0,037	0,037	0,037	0,036	0,037	0,037	0,037	0,037	0,037	0,037	0,037	0,036	0,037	0,036	0,037	0,037	0,037	0,037	0,037	0,037	0,038	0,037	0,036	0,037	0,037	0,036	0,037	0,037	0,037	0,037	0,037	0,036	0,037	0,037	0,037	0,036	0,037	0,037	0,037	0,037	0,037	0,037	0,037	0,037	0,037	0,037	0,037	0,036	0,037	0,037	0,037	0,037	0,037	0,037	0,037	0,037	0,037	0,037	0,038	0,038	0,037	0,037	0,037	0,037	0,037	0,037	0,037	0,037	0,037	0,038	0,037	100,031
761,00	99,988	0,037	0,037	0,037	0,037	0,037	0,037	0,037	0,038	0,038	0,038	0,037	0,037	0,037	0,037	0,037	0,038	0,038	0,038	0,038	0,037	0,038	0,037	0,037	0,038	0,038	0,037	0,038	0,037	0,038	0,037	0,038	0,037	0,037	0,037	0,037	0,038	0,037	0,037	0,038	0,038	0,037	0,037	0,037	0,037	0,037	0,038	0,038	0,038	0,038	0,038	0,038	0,037	0,038	0,038	0,037	0,037	0,037	0,038	0,038	0,038	0,037	0,038	0,038	0,038	0,037	0,038	0,037	0,038	0,038	0,038	0,037	0,037	0,038	0,037	0,037	0,038	0,037	0,038	0,038	0,038	0,038	0,038	0,038	0,037	0,038	0,038	0,037	0,038	0,038	0,038	0,038	0,038	0,038	0,037	0,038	0,037	0,038	0,038	0,038	0,037	100,030
761,20	99,992	0,038	0,038	0,038	0,038	0,038	0,038	0,038	0,038	0,039	0,038	0,038	0,038	0,038	0,038	0,038	0,039	0,038	0,038	0,039	0,038	0,038	0,038	0,038	0,038	0,039	0,038	0,039	0,038	0,039	0,038	0,038	0,038	0,038	0,038	0,038	0,038	0,038	0,038	0,039	0,039	0,038	0,038	0,038	0,038	0,038	0,039	0,038	0,038	0,038	0,039	0,038	0,038	0,038	0,038	0,038	0,038	0,038	0,038	0,039	0,038	0,038	0,038	0,038	0,038	0,038	0,038	0,038	0,038	0,039	0,039	0,038	0,038	0,038	0,038	0,038	0,038	0,038	0,038	0,039	0,039	0,038	0,039	0,039	0,038	0,038	0,039	0,038	0,039	0,039	0,039	0,038	0,039	0,038	0,038	0,038	0,038	0,038	0,039	0,039	0,038	100,034
761,40	99,996	0,039	0,038	0,038	0,039	0,039	0,039	0,039	0,039	0,039	0,039	0,039	0,039	0,038	0,039	0,039	0,039	0,039	0,039	0,040	0,039	0,039	0,039	0,039	0,039	0,040	0,039	0,040	0,039	0,039	0,039	0,039	0,039	0,039	0,039	0,039	0,039	0,039	0,039	0,039	0,039	0,038	0,039	0,039	0,039	0,039	0,040	0,039	0,039	0,039	0,039	0,039	0,039	0,039	0,039	0,038	0,039	0,039	0,039	0,039	0,039	0,039	0,039	0,039	0,039	0,039	0,039	0,039	0,039	0,040	0,040	0,039	0,039	0,039	0,039	0,039	0,039	0,038	0,039	0,040	0,039	0,039	0,039	0,039	0,039	0,039	0,040	0,039	0,040	0,039	0,039	0,039	0,039	0,039	0,039	0,039	0,039	0,039	0,039	0,040	0,039	100,035
761,60	100,000	0,040	0,039	0,039	0,040	0,039	0,040	0,039	0,040	0,040	0,040	0,040	0,040	0,039	0,040	0,040	0,040	0,040	0,040	0,040	0,039	0,040	0,040	0,040	0,040	0,040	0,040	0,040	0,040	0,040	0,040	0,040	0,040	0,040	0,040	0,040	0,040	0,040	0,040	0,040	0,040	0,039	0,040	0,039	0,039	0,040	0,040	0,040	0,040	0,040	0,040	0,040	0,039	0,040	0,040	0,039	0,040	0,040	0,040	0,040	0,040	0,040	0,040	0,040	0,040	0,040	0,040	0,040	0,040	0,040	0,040	0,040	0,040	0,040	0,040	0,040	0,040	0,039	0,040	0,040	0,040	0,040	0,040	0,040	0,040	0,040	0,040	0,040	0,040	0,040	0,040	0,040	0,040	0,040	0,040	0,040	0,039	0,040	0,040	0,041	0,040	100,033
761,80	100,009	0,040	0,040	0,040	0,040	0,040	0,041	0,040	0,040	0,041	0,041	0,040	0,041	0,040	0,040	0,040	0,041	0,041	0,041	0,041	0,041	0,041	0,040	0,040	0,040	0,041	0,041	0,041	0,041	0,041	0,041	0,040	0,041	0,041	0,040	0,040	0,040	0,041	0,041	0,041	0,041	0,040	0,040	0,040	0,040	0,041	0,041	0,040	0,041	0,040	0,041	0,041	0,040	0,041	0,041	0,040	0,041	0,041	0,041	0,041	0,041	0,041	0,041	0,040	0,041	0,041	0,041	0,041	0,041	0,041	0,041	0,040	0,041	0,040	0,041	0,041	0,041	0,040	0,041	0,041	0,041	0,041	0,041	0,041	0,040	0,041	0,041	0,041	0,041	0,041	0,041	0,041	0,041	0,041	0,041	0,041	0,040	0,041	0,041	0,041	0,041	100,038
762,00	100,005	0,041	0,041	0,041	0,041	0,041	0,042	0,041	0,041	0,042	0,041	0,041	0,042	0,041	0,041	0,041	0,042	0,042	0,041	0,042	0,041	0,042	0,041	0,041	0,041	0,042	0,042	0,042	0,041	0,042	0,042	0,041	0,041	0,042	0,041	0,041	0,041	0,041	0,042	0,042	0,042	0,041	0,041	0,041	0,041	0,041	0,042	0,041	0,042	0,041	0,042	0,042	0,041	0,042	0,041	0,041	0,042	0,041	0,041	0,042	0,041	0,041	0,042	0,041	0,042	0,042	0,041	0,042	0,041	0,042	0,042	0,041	0,041	0,041	0,042	0,042	0,042	0,041	0,042	0,042	0,042	0,041	0,042	0,041	0,041	0,042	0,042	0,041	0,042	0,042	0,042	0,042	0,042	0,041	0,041	0,041	0,041	0,042	0,042	0,042	0,041	100,033
762,20	100,001	0,042	0,042	0,042	0,042	0,042	0,043	0,042	0,042	0,043	0,042	0,042	0,042	0,041	0,042	0,042	0,043	0,042	0,042	0,043	0,042	0,042	0,042	0,042	0,042	0,042	0,042	0,042	0,042	0,042	0,042	0,042	0,042	0,042	0,042	0,042	0,042	0,042	0,042	0,043	0,043	0,042	0,042	0,042	0,042	0,042	0,043	0,042	0,043	0,042	0,043	0,043	0,042	0,042	0,042	0,042	0,043	0,042	0,043	0,043	0,042	0,042	0,042	0,042	0,043	0,042	0,042	0,043	0,042	0,043	0,043	0,042	0,042	0,042	0,043	0,042	0,042	0,042	0,042	0,042	0,042	0,042	0,043	0,042	0,042	0,043	0,043	0,042	0,043	0,043	0,042	0,042	0,042	0,042	0,042	0,042	0,042	0,042	0,042	0,043	0,042	100,030
762,40	99,997	0,043	0,043	0,043	0,043	0,043	0,043	0,043	0,043	0,044	0,043	0,043	0,043	0,042	0,043	0,043	0,044	0,043	0,043	0,044	0,043	0,043	0,043	0,043	0,043	0,043	0,043	0,043	0,043	0,044	0,043	0,043	0,043	0,043	0,043	0,043	0,043	0,043	0,043	0,043	0,044	0,043	0,043	0,043	0,043	0,043	0,043	0,043	0,044	0,043	0,044	0,044	0,043	0,043	0,043	0,043	0,043	0,043	0,043	0,043	0,043	0,043	0,043	0,043	0,043	0,043	0,043	0,043	0,043	0,044	0,044	0,043	0,043	0,043	0,043	0,043	0,043	0,043	0,043	0,043	0,043	0,043	0,044	0,043	0,043	0,044	0,043	0,043	0,044	0,043	0,043	0,043	0,043	0,043	0,043	0,043	0,043	0,043	0,043	0,044	0,043	100,033
762,60	100,004	0,044	0,044	0,044	0,044	0,043	0,044	0,044	0,044	0,044	0,044	0,044	0,044	0,043	0,044	0,044	0,045	0,044	0,044	0,045	0,044	0,044	0,043	0,044	0,044	0,044	0,044	0,044	0,044	0,045	0,044	0,044	0,044	0,044	0,044	0,044	0,044	0,044	0,044	0,044	0,045	0,044	0,044	0,044	0,043	0,044	0,044	0,044	0,045	0,044	0,044	0,044	0,044	0,044	0,044	0,044	0,044	0,044	0,044	0,044	0,044	0,044	0,044	0,044	0,044	0,044	0,044	0,044	0,044	0,045	0,045	0,044	0,044	0,044	0,044	0,044	0,044	0,044	0,044	0,044	0,044	0,044	0,044	0,044	0,044	0,044	0,044	0,044	0,045	0,044	0,044	0,044	0,044	0,044	0,044	0,044	0,044	0,044	0,044	0,045	0,044	100,039
762,80	100,006	0,045	0,045	0,045	0,045	0,044	0,045	0,045	0,045	0,045	0,045	0,045	0,045	0,044	0,045	0,045	0,045	0,045	0,045	0,046	0,045	0,045	0,044	0,045	0,045	0,045	0,045	0,045	0,045	0,045	0,045	0,044	0,045	0,045	0,045	0,045	0,045	0,045	0,045	0,045	0,046	0,045	0,045	0,045	0,044	0,045	0,045	0,045	0,045	0,045	0,045	0,045	0,045	0,045	0,045	0,045	0,045	0,045	0,045	0,045	0,045	0,045	0,045	0,045	0,045	0,045	0,045	0,045	0,045	0,045	0,046	0,045	0,045	0,044	0,045	0,045	0,045	0,045	0,045	0,045	0,045	0,045	0,045	0,045	0,045	0,045	0,045	0,045	0,046	0,045	0,045	0,045	0,045	0,045	0,045	0,045	0,045	0,045	0,045	0,045	0,045	100,041
763,00	100,001	0,046	0,046	0,046	0,046	0,045	0,046	0,046	0,046	0,046	0,046	0,046	0,046	0,045	0,046	0,046	0,046	0,046	0,046	0,046	0,046	0,046	0,045	0,046	0,046	0,046	0,046	0,046	0,046	0,046	0,046	0,045	0,046	0,046	0,046	0,046	0,046	0,046	0,046	0,046	0,047	0,046	0,046	0,046	0,045	0,046	0,046	0,046	0,046	0,046	0,046	0,046	0,045	0,046	0,046	0,046	0,046	0,046	0,046	0,046	0,046	0,046	0,046	0,046	0,046	0,046	0,046	0,046	0,046	0,046	0,046	0,046	0,046	0,046	0,046	0,046	0,046	0,046	0,046	0,046	0,046	0,046	0,046	0,046	0,046	0,046	0,046	0,046	0,046	0,046	0,046	0,046	0,046	0,046	0,046	0,046	0,046	0,046	0,046	0,046	0,046	100,045
763,20	100,007	0,047	0,047	0,047	0,047	0,046	0,047	0,047	0,047	0,047	0,047	0,047	0,047	0,046	0,047	0,046	0,047	0,047	0,047	0,048	0,047	0,047	0,046	0,047	0,047	0,047	0,047	0,046	0,047	0,047	0,047	0,046	0,047	0,047	0,047	0,047	0,047	0,047	0,047	0,047	0,047	0,047	0,047	0,047	0,046	0,046	0,047	0,047	0,047	0,047	0,047	0,047	0,046	0,047	0,047	0,047	0,047	0,046	0,047	0,047	0,047	0,047	0,047	0,047	0,047	0,047	0,047	0,047	0,047	0,047	0,047	0,047	0,047	0,046	0,047	0,047	0,047	0,047	0,047	0,047	0,047	0,047	0,047	0,047	0,047	0,047	0,047	0,047	0,048	0,047	0,047	0,047	0,047	0,047	0,047	0,047	0,047	0,047	0,047	0,047	0,047	100,048
763,40	100,004	0,048	0,047	0,048	0,048	0,047	0,048	0,048	0,048	0,048	0,048	0,048	0,048	0,047	0,048	0,047	0,048	0,048	0,048	0,048	0,048	0,047	0,047	0,047	0,048	0,048	0,048	0,047	0,048	0,048	0,048	0,047	0,048	0,048	0,048	0,047	0,048	0,048	0,048	0,048	0,048	0,048	0,048	0,048	0,047	0,047	0,048	0,048	0,048	0,048	0,048	0,048	0,047	0,048	0,048	0,048	0,048	0,047	0,048	0,048	0,048	0,048	0,048	0,047	0,048	0,048	0,048	0,048	0,047	0,048	0,048	0,048	0,047	0,047	0,048	0,048	0,048	0,048	0,048	0,048	0,048	0,048	0,048	0,048	0,048	0,048	0,048	0,048	0,048	0,048	0,048	0,048	0,048	0,048	0,048	0,048	0,048	0,048	0,048	0,048	0,048	100,055
763,60	100,004	0,049	0,048	0,049	0,049	0,048	0,049	0,049	0,049	0,049	0,050	0,049	0,049	0,048	0,049	0,048	0,049	0,049	0,049	0,049	0,049	0,048	0,048	0,049	0,049	0,049	0,049	0,049	0,049	0,049	0,049	0,048	0,049	0,049	0,049	0,048	0,049	0,049	0,049	0,049	0,049	0,049	0,049	0,048	0,048	0,048	0,049	0,049	0,049	0,048	0,049	0,049	0,048	0,049	0,049	0,049	0,049	0,048	0,049	0,049	0,049	0,049	0,049	0,049	0,049	0,049	0,049	0,049	0,049	0,049	0,049	0,049	0,048	0,048	0,049	0,049	0,049	0,049	0,049	0,049	0,049	0,049	0,049	0,049	0,049	0,049	0,049	0,049	0,049	0,049	0,049	0,049	0,049	0,049	0,049	0,049	0,049	0,049	0,049	0,049	0,049	100,057
763,80	100,008	0,050	0,050	0,050	0,050	0,049	0,050	0,050	0,050	0,050	0,051	0,050	0,050	0,050	0,050	0,049	0,050	0,050	0,050	0,050	0,050	0,050	0,049	0,050	0,050	0,050	0,050	0,049	0,050	0,050	0,050	0,049	0,050	0,050	0,050	0,049	0,050	0,050	0,050	0,050	0,050	0,050	0,050	0,049	0,049	0,049	0,050	0,050	0,050	0,050	0,050	0,050	0,049	0,050	0,049	0,050	0,050	0,049	0,050	0,050	0,050	0,050	0,050	0,050	0,050	0,050	0,050	0,050	0,050	0,050	0,050	0,050	0,049	0,049	0,049	0,050	0,050	0,051	0,050	0,050	0,050	0,050	0,050	0,050	0,050	0,050	0,049	0,050	0,050	0,050	0,050	0,050	0,050	0,050	0,050	0,050	0,050	0,050	0,051	0,050	0,051	100,066
764,00	100,005	0,051	0,051	0,051	0,051	0,050	0,051	0,051	0,051	0,051	0,052	0,051	0,051	0,051	0,051	0,050	0,051	0,051	0,051	0,051	0,052	0,051	0,050	0,051	0,051	0,051	0,051	0,050	0,051	0,051	0,051	0,050	0,051	0,051	0,051	0,050	0,051	0,051	0,051	0,051	0,051	0,051	0,051	0,050	0,050	0,050	0,051	0,051	0,051	0,051	0,051	0,051	0,050	0,051	0,051	0,051	0,051	0,050	0,052	0,051	0,051	0,051	0,051	0,051	0,051	0,051	0,051	0,051	0,051	0,051	0,051	0,050	0,050	0,051	0,050	0,051	0,051	0,052	0,051	0,051	0,051	0,051	0,051	0,051	0,051	0,051	0,051	0,051	0,051	0,051	0,051	0,051	0,051	0,051	0,051	0,051	0,051	0,051	0,052	0,051	0,051	100,064
764,20	100,005	0,052	0,052	0,052	0,052	0,052	0,052	0,052	0,052	0,052	0,053	0,051	0,052	0,052	0,052	0,051	0,052	0,052	0,052	0,052	0,053	0,052	0,052	0,052	0,052	0,052	0,052	0,051	0,052	0,052	0,052	0,051	0,052	0,052	0,052	0,052	0,052	0,052	0,052	0,052	0,052	0,052	0,052	0,052	0,051	0,051	0,052	0,052	0,052	0,052	0,052	0,052	0,052	0,052	0,052	0,052	0,052	0,051	0,053	0,053	0,053	0,052	0,052	0,052	0,052	0,052	0,052	0,052	0,052	0,052	0,052	0,052	0,052	0,052	0,051	0,052	0,052	0,053	0,052	0,052	0,052	0,052	0,051	0,052	0,052	0,052	0,052	0,052	0,052	0,052	0,052	0,052	0,052	0,052	0,052	0,052	0,052	0,052	0,053	0,052	0,053	100,067
764,40	100,005	0,053	0,053	0,053	0,053	0,053	0,053	0,053	0,053	0,053	0,054	0,052	0,053	0,053	0,053	0,052	0,053	0,053	0,054	0,053	0,054	0,053	0,053	0,053	0,053	0,053	0,053	0,053	0,053	0,053	0,053	0,053	0,053	0,053	0,053	0,053	0,053	0,053	0,053	0,053	0,053	0,053	0,053	0,053	0,052	0,053	0,053	0,053	0,054	0,053	0,053	0,053	0,053	0,053	0,053	0,053	0,053	0,052	0,053	0,054	0,054	0,053	0,053	0,053	0,053	0,053	0,053	0,053	0,053	0,053	0,053	0,053	0,053	0,053	0,052	0,053	0,053	0,054	0,053	0,054	0,054	0,053	0,053	0,054	0,053	0,053	0,053	0,053	0,054	0,054	0,054	0,053	0,053	0,053	0,053	0,053	0,054	0,053	0,054	0,053	0,054	100,055
764,60	100,011	0,054	0,054	0,054	0,054	0,054	0,054	0,054	0,054	0,054	0,055	0,054	0,054	0,054	0,054	0,053	0,054	0,054	0,055	0,054	0,055	0,054	0,054	0,054	0,054	0,054	0,054	0,054	0,054	0,054	0,054	0,054	0,054	0,054	0,054	0,054	0,054	0,055	0,054	0,054	0,055	0,054	0,054	0,054	0,054	0,054	0,054	0,054	0,055	0,054	0,055	0,054	0,054	0,054	0,054	0,054	0,054	0,054	0,055	0,055	0,055	0,054	0,054	0,054	0,054	0,054	0,054	0,055	0,054	0,054	0,055	0,054	0,054	0,054	0,053	0,054	0,054	0,055	0,054	0,055	0,055	0,054	0,054	0,055	0,054	0,054	0,054	0,054	0,055	0,055	0,055	0,054	0,054	0,054	0,055	0,054	0,055	0,054	0,055	0,055	0,055	100,061
